时间,海域,地图点,状态,战况,敌舰队,捞！,大破舰,旗舰,旗舰 (第二舰队),MVP,MVP (第二舰队)
2017/03/11 13:26:57,カレー洋制圧戦(4-2),13(Boss点),進撃,戦術的勝利B,東方主力艦隊,龍驤,伊26改,呂500(Lv.154),,伊19改(Lv.138),
2017/03/11 13:25:51,カレー洋制圧戦(4-2),12(道中),進撃,勝利A,敵空母機動部隊,,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/11 13:24:56,カレー洋制圧戦(4-2),6(道中),進撃,敗北D,敵潜水教導艦隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/11 13:23:34,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/11 13:00:00,鎮守府正面海域(1-1),2(道中),進撃,勝利S,敵はぐれ艦隊,,皐月,白露改(Lv.59),,白露改(Lv.59),
2017/03/11 12:59:13,鎮守府正面海域(1-1),1(道中),出撃,完全勝利!!!S,敵偵察艦,,无,白露改(Lv.59),,白露改(Lv.59),
2017/03/11 12:57:39,鎮守府正面海域(1-1),2(道中),進撃,勝利S,敵はぐれ艦隊,,无,白露改(Lv.59),,白露改(Lv.59),
2017/03/11 12:56:48,鎮守府正面海域(1-1),1(道中),出撃,完全勝利!!!S,敵偵察艦,皐月,无,白露改(Lv.59),,白露改(Lv.59),
2017/03/11 12:54:35,鎮守府正面海域(1-1),1(道中),出撃,勝利S,敵偵察艦,夕立,夕立,白露改(Lv.59),,白露改(Lv.59),
2017/03/11 12:53:33,鎮守府正面海域(1-1),2(道中),進撃,勝利S,敵はぐれ艦隊,,无,白露改(Lv.59),,白露改(Lv.59),
2017/03/11 12:52:53,鎮守府正面海域(1-1),1(道中),出撃,完全勝利!!!S,敵偵察艦,,无,白露改(Lv.59),,白露改(Lv.59),
2017/03/11 12:50:45,鎮守府正面海域(1-1),3(Boss点),進撃,勝利A,敵主力艦隊,敷波,綾波,天津風改(Lv.60),,天津風改(Lv.60),
2017/03/11 12:49:31,鎮守府正面海域(1-1),1(道中),出撃,勝利S,敵偵察艦,夕立,无,天津風改(Lv.60),,天津風改(Lv.60),
2017/03/11 12:47:46,鎮守府正面海域(1-1),2(道中),進撃,勝利S,敵はぐれ艦隊,,无,天津風改(Lv.60),,天津風改(Lv.60),
2017/03/11 12:46:53,鎮守府正面海域(1-1),1(道中),出撃,勝利S,敵偵察艦,皐月,无,天津風改(Lv.60),,天津風改(Lv.60),
2017/03/11 12:45:08,鎮守府正面海域(1-1),2(道中),進撃,勝利A,敵はぐれ艦隊,綾波,无,天津風改(Lv.60),,天津風改(Lv.60),
2017/03/11 12:44:12,鎮守府正面海域(1-1),1(道中),出撃,勝利S,敵偵察艦,皐月,无,天津風改(Lv.60),,天津風改(Lv.60),
2017/03/11 12:42:10,鎮守府正面海域(1-1),3(Boss点),進撃,勝利A,敵主力艦隊,叢雲,時雨,若葉改(Lv.60),,若葉改(Lv.60),
2017/03/11 12:41:20,鎮守府正面海域(1-1),1(道中),出撃,勝利S,敵偵察艦,初霜,无,若葉改(Lv.60),,若葉改(Lv.60),
2017/03/11 12:38:20,鎮守府正面海域(1-1),1(道中),出撃,勝利S,敵偵察艦,磯波,子日,若葉改(Lv.60),,若葉改(Lv.60),
2017/03/11 12:36:23,鎮守府正面海域(1-1),2(道中),進撃,完全勝利!!!S,敵はぐれ艦隊,初霜,无,若葉改(Lv.60),,若葉改(Lv.60),
2017/03/11 12:35:36,鎮守府正面海域(1-1),1(道中),出撃,完全勝利!!!S,敵偵察艦,時雨,无,若葉改(Lv.60),,若葉改(Lv.60),
2017/03/11 12:34:28,鎮守府正面海域(1-1),2(道中),進撃,完全勝利!!!S,敵はぐれ艦隊,,无,若葉改(Lv.60),,若葉改(Lv.60),
2017/03/11 12:33:17,鎮守府正面海域(1-1),1(道中),出撃,完全勝利!!!S,敵偵察艦,子日,无,若葉改(Lv.60),,若葉改(Lv.60),
2017/03/11 01:29:38,カレー洋制圧戦(4-2),8(道中),進撃,勝利A,敵補給船団,,无,呂500(Lv.154),,伊58改(Lv.58),
2017/03/11 01:28:22,カレー洋制圧戦(4-2),11(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/11 01:27:21,カレー洋制圧戦(4-2),1(道中),出撃,敗北D,敵潜水教導艦隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/11 01:25:04,カレー洋制圧戦(4-2),1(道中),出撃,戦術的勝利B,敵潜水教導艦隊,,伊8改,呂500(Lv.154),,呂500(Lv.154),
2017/03/11 01:12:58,カレー洋制圧戦(4-2),8(道中),進撃,勝利S,敵補給船団,龍驤,无,U-511改(Lv.66),,伊8改(Lv.132),
2017/03/11 01:10:42,カレー洋制圧戦(4-2),12(道中),進撃,勝利A,敵空母機動部隊,,无,U-511改(Lv.66),,伊8改(Lv.132),
2017/03/11 01:08:46,カレー洋制圧戦(4-2),6(道中),進撃,戦術的勝利B,敵潜水教導艦隊,,无,U-511改(Lv.66),,伊168改(Lv.52),
