时间,类型,结果,燃,弹,钢,铝,获得物品 1,数量,获得物品 2,数量
2017/11/29 20:02:53,東京急行,大成功,0,666,473,0,,,,
2017/11/29 20:02:38,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/29 20:02:28,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/29 16:46:09,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/29 16:06:29,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/29 16:05:23,海上護衛任務,大成功,360,360,36,36,,,,
2017/11/29 15:18:21,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/29 14:34:41,東京急行,大成功,0,666,473,0,,,,
2017/11/29 14:34:23,海上護衛任務,大成功,360,360,36,36,,,,
2017/11/29 14:34:14,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/29 00:03:02,海上護衛任務,大成功,360,360,36,36,,,,
2017/11/28 23:58:27,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/28 22:39:06,東京急行,大成功,0,666,473,0,,,,
2017/11/28 00:35:54,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/28 00:06:55,東京急行,大成功,0,666,473,0,,,,
2017/11/27 23:56:12,海上護衛任務,大成功,360,360,36,36,,,,
2017/11/27 23:56:02,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 23:02:19,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 22:20:22,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 22:08:10,海上護衛任務,大成功,360,360,36,36,,,,
2017/11/27 21:39:16,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 21:15:55,東京急行,大成功,0,666,473,0,家具箱（小）,1,,
2017/11/27 20:55:01,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 20:38:01,海上護衛任務,大成功,360,360,36,36,,,,
2017/11/27 20:07:29,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/27 19:25:49,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 19:04:22,海上護衛任務,大成功,360,360,36,36,,,,
2017/11/27 18:43:36,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/27 18:30:14,東京急行,大成功,0,666,473,0,家具箱（小）,1,,
2017/11/27 18:02:32,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 16:01:25,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/27 15:46:29,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 15:45:40,東京急行,大成功,0,666,473,0,,,,
2017/11/27 15:06:35,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 14:31:08,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/27 14:21:28,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/27 13:41:04,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/27 12:57:36,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/27 00:10:34,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/26 23:48:36,東京急行,大成功,0,666,473,0,家具箱（小）,1,,
2017/11/26 22:40:44,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/26 22:18:46,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/26 21:36:42,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/26 21:06:13,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/26 20:57:02,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/26 20:50:21,東京急行,大成功,0,666,473,0,,,,
2017/11/26 20:15:14,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/26 19:31:40,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/26 19:31:30,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/26 18:43:09,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/26 17:59:30,東京急行(弐),大成功,736,0,351,0,,,,
2017/11/26 17:59:18,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/26 17:58:47,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/26 15:45:18,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/26 15:35:21,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/26 14:55:25,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/26 14:15:12,東京急行,大成功,0,666,473,0,,,,
2017/11/26 14:15:02,海上護衛任務,大成功,345,345,34,34,,,,
2017/11/26 14:14:52,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/26 13:15:04,防空射撃演習,大成功,0,0,0,138,,,,
2017/11/26 12:40:41,海上護衛任務,成功,230,230,23,23,,,,
2017/11/26 12:33:08,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/26 11:48:23,防空射撃演習,大成功,0,0,0,138,家具箱（小）,1,,
2017/11/26 10:39:19,東京急行,大成功,0,666,473,0,家具箱（小）,1,,
