时间,燃,弹,钢,铝,高速建造,高速修复,资材,螺丝
2016/12/08 12:01:05,200085,181594,274827,182983,1602,1528,1865,18
2016/12/08 11:39:02,199453,180985,274713,182949,1601,1528,1865,18
2016/12/08 00:11:57,199473,180885,274683,182949,1601,1527,1865,18
2016/12/07 23:00:47,199200,180447,274614,182915,1601,1526,1865,18
2016/12/07 22:24:50,198182,179082,273995,182631,1601,1526,1864,18
2016/12/07 18:00:01,198202,179082,273995,182631,1601,1526,1864,18
2016/12/07 17:16:13,197422,178125,273872,182567,1601,1524,1864,18
2016/12/07 14:10:47,196100,177776,273463,182133,1601,1523,1862,17
2016/12/07 13:22:30,196126,177682,273433,182133,1601,1523,1862,17
2016/12/07 12:19:40,195740,177013,273179,181949,1601,1520,1860,17
2016/12/07 11:05:48,194817,176758,272497,181715,1600,1519,1857,16
2016/12/07 00:12:34,194917,176099,272002,181715,1600,1518,1857,16
2016/12/06 23:00:11,194937,175999,271972,181715,1600,1518,1857,16
2016/12/06 22:01:15,194871,175847,271662,181531,1600,1517,1855,16
2016/12/06 21:02:34,194707,174759,271098,181497,1600,1517,1855,16
2016/12/06 20:23:14,194577,174359,270768,181347,1600,1517,1855,16
2016/12/06 19:12:38,194329,173826,270674,181313,1600,1515,1855,16
2016/12/06 18:34:54,194049,173226,270144,181013,1600,1515,1852,16
2016/12/06 17:48:48,193299,172399,270080,180979,1600,1515,1852,16
2016/12/06 16:02:34,193041,171854,269986,180945,1600,1514,1852,16
2016/12/06 15:28:36,192589,171372,269956,180945,1600,1513,1852,16
2016/12/06 14:01:24,192211,170827,269792,180811,1600,1513,1851,16
2016/12/06 13:00:56,192203,170687,269695,180761,1600,1510,1849,16
2016/12/06 12:48:31,192203,170077,269116,180727,1599,1510,1849,16
2016/12/06 00:19:04,191479,169830,269052,180693,1599,1507,1849,15
2016/12/05 23:01:35,191080,169052,269061,180193,1599,1508,1847,15
2016/12/05 22:02:19,190847,168561,268701,180043,1599,1506,1847,15
2016/12/05 21:00:03,190589,168016,268607,180009,1599,1505,1847,15
2016/12/05 20:20:27,190405,167032,268078,179975,1599,1505,1847,15
2016/12/05 16:03:53,190345,166932,268048,179975,1599,1505,1847,15
2016/12/05 15:02:55,189817,165930,266939,179641,1599,1502,1843,15
2016/12/05 12:00:10,189833,165952,266929,179641,1599,1502,1843,15
2016/12/05 11:05:10,189266,165379,266703,179557,1598,1500,1841,15
2016/12/05 00:12:18,188814,164893,266673,179557,1598,1499,1841,15
2016/12/04 23:06:10,189971,165379,267978,180098,1598,1509,1841,15
2016/12/04 22:00:47,190257,165154,267950,180163,1598,1512,1841,15
2016/12/04 21:01:08,191115,165184,268855,180812,1598,1516,1841,15
2016/12/04 20:04:19,190765,164568,268468,180628,1598,1514,1839,15
2016/12/04 19:05:52,191806,164959,268985,180843,1598,1516,1837,15
2016/12/04 18:16:05,191363,164560,268885,180743,1598,1516,1836,15
2016/12/04 13:00:27,191018,164115,268821,180709,1598,1515,1836,15
2016/12/04 12:07:23,191194,164268,268711,180709,1597,1515,1836,15
2016/12/04 11:37:04,190450,163445,268647,180675,1597,1514,1836,15
2016/12/04 01:16:52,190220,163471,268773,180593,1597,1511,1835,15
2016/12/04 00:22:41,189802,162738,268409,180409,1597,1511,1835,15
2016/12/03 23:04:53,189092,161831,268315,180375,1597,1510,1835,15
2016/12/03 19:03:46,189112,161731,268285,180375,1597,1510,1835,15
2016/12/03 18:12:27,189132,161631,268255,180375,1597,1509,1835,15
2016/12/03 17:01:16,189180,161543,268259,180375,1597,1509,1835,15
2016/12/03 16:19:46,188350,160512,268065,180241,1597,1508,1834,15
2016/12/03 14:01:40,189773,161301,268575,180552,1597,1512,1833,15
2016/12/03 13:26:52,189477,160900,268402,180517,1596,1512,1831,15
2016/12/03 01:53:13,189597,160382,269500,180568,1596,1514,1831,15
2016/12/02 23:00:40,189781,160030,269730,180729,1596,1515,1831,15
2016/12/02 22:27:38,190394,160360,269670,181089,1596,1514,1831,15
2016/12/02 21:42:28,189644,159529,269606,181055,1596,1514,1831,15
2016/12/02 19:02:44,191813,160691,270509,182000,1596,1523,1831,15
2016/12/02 18:05:23,192317,160557,270412,182191,1595,1526,1830,15
2016/12/02 17:06:09,195483,162498,271773,183964,1595,1536,1830,15
2016/12/02 16:06:40,198100,163568,274364,186552,1595,1541,1830,15
2016/12/02 15:12:24,197661,162410,274381,186068,1595,1539,1827,15
2016/12/02 14:06:21,197604,162119,274217,186018,1595,1536,1825,15
2016/12/02 13:31:39,197072,161748,274103,185984,1594,1536,1825,15
2016/12/02 00:00:54,197885,162092,274862,186140,1594,1537,1825,15
2016/12/01 23:07:04,200597,163270,277177,186335,1593,1544,1824,15
2016/12/01 22:31:17,203115,163786,281162,186821,1593,1550,1824,15
2016/12/01 20:12:19,204469,164171,283271,187181,1593,1554,1824,15
2016/12/01 19:58:41,204124,163726,283207,187147,1593,1554,1824,15
2016/12/01 17:06:46,205202,164529,283759,187547,1593,1556,1824,15
