时间,类型,舰种,船只
2017/02/21 18:15:18,解体,軽巡洋艦,龍田(Lv.1)
2017/02/21 18:15:13,解体,駆逐艦,不知火(Lv.1)
2017/02/21 17:54:49,解体,駆逐艦,涼風(Lv.1)
2017/02/21 17:54:03,解体,駆逐艦,不知火(Lv.1)
2017/02/21 17:53:51,解体,駆逐艦,霞(Lv.1)
2017/02/21 17:53:45,解体,駆逐艦,夕立(Lv.1)
2017/02/21 17:53:41,解体,重巡洋艦,鳥海(Lv.1)
2017/02/21 17:53:37,解体,駆逐艦,荒潮(Lv.1)
2017/02/21 17:53:20,解体,駆逐艦,電(Lv.1)
2017/02/21 17:28:46,解体,戦艦,扶桑(Lv.1)
2017/02/21 17:28:42,解体,戦艦,山城(Lv.1)
2017/02/21 17:28:33,解体,重巡洋艦,摩耶(Lv.1)
2017/02/21 17:28:29,解体,重巡洋艦,高雄(Lv.1)
2017/02/21 17:28:16,解体,軽巡洋艦,五十鈴(Lv.1)
2017/02/21 17:17:23,解体,重巡洋艦,足柄(Lv.1)
2017/02/21 17:17:19,解体,軽巡洋艦,名取(Lv.1)
2017/02/21 17:17:15,解体,駆逐艦,霞(Lv.1)
2017/02/21 16:45:44,解体,駆逐艦,満潮(Lv.1)
2017/02/21 16:45:40,解体,駆逐艦,陽炎(Lv.1)
2017/02/21 16:43:52,解体,駆逐艦,陽炎(Lv.1)
2017/02/21 16:33:46,解体,駆逐艦,磯波(Lv.1)
2017/02/21 16:33:42,解体,重巡洋艦,加古(Lv.1)
2017/02/21 16:26:44,解体,駆逐艦,敷波(Lv.1)
2017/02/21 16:26:40,解体,駆逐艦,時雨(Lv.1)
2017/02/21 16:26:36,解体,駆逐艦,文月(Lv.1)
2017/02/21 16:26:31,解体,重巡洋艦,足柄(Lv.1)
2017/02/21 16:26:27,解体,軽巡洋艦,球磨(Lv.1)
2017/02/21 16:25:09,解体,駆逐艦,雷(Lv.2)
2017/02/21 15:43:14,解体,駆逐艦,電(Lv.1)
2017/02/21 15:43:04,解体,駆逐艦,大潮(Lv.1)
2017/02/21 15:42:60,解体,駆逐艦,初雪(Lv.1)
2017/02/21 15:42:56,解体,駆逐艦,磯波(Lv.1)
2017/02/21 15:42:49,解体,駆逐艦,初雪(Lv.1)
2017/02/21 15:42:44,解体,駆逐艦,涼風(Lv.1)
2017/02/21 15:35:45,解体,軽巡洋艦,天龍(Lv.1)
2017/02/21 15:34:07,解体,駆逐艦,初雪(Lv.1)
2017/02/21 15:31:31,解体,駆逐艦,深雪(Lv.1)
2017/02/21 15:28:34,解体,駆逐艦,敷波(Lv.1)
2017/02/21 15:20:48,解体,駆逐艦,敷波(Lv.1)
2017/02/21 15:12:25,改修,駆逐艦,荒潮(Lv.1)
2017/02/21 15:12:25,改修,駆逐艦,潮(Lv.1)
2017/02/21 15:12:13,改修,駆逐艦,望月(Lv.1)
2017/02/21 15:12:13,改修,駆逐艦,曙(Lv.1)
2017/02/21 15:11:56,改修,軽空母,瑞鳳(Lv.1)
2017/02/21 14:54:30,改修,重巡洋艦,最上(Lv.1)
2017/02/21 14:54:20,改修,重巡洋艦,最上(Lv.1)
2017/02/21 14:54:09,改修,重巡洋艦,鈴谷(Lv.1)
2017/02/21 14:53:27,改修,軽巡洋艦,五十鈴(Lv.1)
2017/02/21 14:53:12,改修,駆逐艦,白雪(Lv.1)
2017/02/21 14:53:12,改修,駆逐艦,皐月(Lv.1)
2017/02/21 14:52:52,改修,重巡洋艦,古鷹(Lv.1)
2017/02/21 14:52:43,改修,駆逐艦,子日(Lv.1)
2017/02/21 14:52:43,改修,駆逐艦,初霜(Lv.1)
2017/02/21 13:50:25,解体,駆逐艦,望月(Lv.1)
2017/02/21 13:48:01,解体,駆逐艦,深雪(Lv.2)
2017/02/21 06:21:27,改修,軽空母,隼鷹(Lv.1)
2017/02/21 06:20:43,改修,軽巡洋艦,那珂(Lv.1)
2017/02/21 06:20:43,改修,駆逐艦,睦月(Lv.1)
2017/02/21 06:20:34,改修,重巡洋艦,足柄(Lv.1)
2017/02/21 06:19:50,改修,駆逐艦,霰(Lv.1)
2017/02/21 06:19:50,改修,駆逐艦,荒潮(Lv.1)
2017/02/21 06:19:39,改修,駆逐艦,暁(Lv.1)
2017/02/21 06:19:39,改修,駆逐艦,暁(Lv.1)
2017/02/21 06:19:18,改修,戦艦,扶桑(Lv.1)
2017/02/21 06:19:07,改修,戦艦,山城(Lv.1)
2017/02/21 05:38:49,改修,水上機母艦,千歳(Lv.1)
2017/02/21 05:38:49,改修,水上機母艦,千代田(Lv.1)
2017/02/21 05:38:49,改修,水上機母艦,千代田(Lv.1)
2017/02/21 05:38:07,解体,軽巡洋艦,多摩(Lv.1)
2017/02/21 05:38:03,解体,軽空母,鳳翔(Lv.1)
2017/02/21 05:37:59,解体,駆逐艦,菊月(Lv.1)
2017/02/21 05:37:54,解体,軽巡洋艦,木曾(Lv.1)
2017/02/21 05:37:48,解体,戦艦,金剛(Lv.1)
2017/02/21 05:37:44,解体,戦艦,霧島(Lv.1)
2017/02/21 05:37:40,解体,重巡洋艦,加古(Lv.1)
2017/02/21 05:06:09,解体,潜水艦,伊168(Lv.1)
2017/02/21 05:06:05,解体,駆逐艦,如月(Lv.1)
2017/02/21 05:05:59,解体,駆逐艦,綾波(Lv.1)
2017/02/21 05:05:44,解体,駆逐艦,黒潮(Lv.1)
2017/02/21 05:05:39,解体,戦艦,伊勢(Lv.1)
2017/02/21 05:05:25,解体,駆逐艦,敷波(Lv.1)
2017/02/21 04:47:25,解体,軽巡洋艦,神通(Lv.1)
2017/02/21 04:47:21,解体,重巡洋艦,青葉(Lv.1)
2017/02/21 04:03:38,解体,軽巡洋艦,名取(Lv.1)
2017/02/21 04:03:33,解体,駆逐艦,睦月(Lv.1)
2017/02/21 04:03:28,解体,水上機母艦,千歳(Lv.1)
2017/02/21 04:03:24,解体,戦艦,山城(Lv.1)
2017/02/21 04:03:17,解体,駆逐艦,霞(Lv.1)
2017/02/21 04:03:11,解体,駆逐艦,子日(Lv.1)
2017/02/21 04:03:05,解体,駆逐艦,五月雨(Lv.1)
2017/02/21 04:02:57,解体,駆逐艦,霞(Lv.1)
2017/02/21 04:02:51,解体,駆逐艦,朧(Lv.1)
2017/02/21 04:02:45,解体,軽巡洋艦,名取(Lv.1)
2017/02/21 04:02:40,解体,重巡洋艦,利根(Lv.1)
2017/02/21 03:30:48,解体,駆逐艦,時雨(Lv.1)
2017/02/21 03:30:43,解体,駆逐艦,皐月(Lv.1)
2017/02/21 03:24:15,解体,駆逐艦,大潮(Lv.1)
2017/02/21 03:24:11,解体,駆逐艦,皐月(Lv.1)
2017/02/21 03:24:06,解体,軽巡洋艦,名取(Lv.1)
2017/02/21 03:24:02,解体,重巡洋艦,筑摩(Lv.1)
2017/02/21 03:23:47,解体,駆逐艦,満潮(Lv.1)
2017/02/21 03:22:33,解体,軽巡洋艦,多摩(Lv.1)
